,gene,cluster
1098,OR1S2,Singleton
1099,OR4D1,Singleton
1100,AQP12B,Singleton
1101,RHOXF2,Singleton
1102,DPRX,Singleton
1103,SPATA31C1,Singleton
1104,TBC1D3D,Singleton
1105,MAJIN,Singleton
1106,KLRF2,Singleton
1107,CCDC185,Singleton
1108,OR10G3,Singleton
1109,KRTAP5-4,Singleton
1110,OR51B6,Singleton
1111,OR51T1,Singleton
1112,PRR23A,Singleton
1113,MAGEB6,Singleton
1114,SSX4B,Singleton
1115,MS4A13,Singleton
1116,MAGEB10,Singleton
1117,OR14J1,Singleton
1118,NBPF26,Singleton
1119,GLYATL3,Singleton
1120,TAAR8,Singleton
1121,SSMEM1,Singleton
1122,DEFB123,Singleton
1123,GAGE12C,Singleton
1124,OR7G2,Singleton
1125,HSFX1,Singleton
1126,OR1B1,Singleton
1127,TGIF2LX,Singleton
1128,PPIAL4C,Singleton
1129,LEXM,Singleton
1130,MRGPRG,Singleton
1131,IQCF2,Singleton
1132,KRTAP9-4,Singleton
1133,TAS2R41,Singleton
1134,LEUTX,Singleton
1135,SPANXA2,Singleton
1136,OR2Y1,Singleton
1137,GAGE2A,Singleton
